time,x,y,pressure,tilt_x,tilt_y
1607469161186756,12467,7109,3907,4294967196,3300
1607469161188608,12436,7106,3913,4294967196,3300
1607469161190452,12440,7104,3923,4294967196,3300
1607469161192299,12478,7103,3936,4294967196,3300
1607469161194153,12481,7101,3941,4294967196,3300
1607469161195996,12484,7100,3944,0,3300
1607469161197847,12486,7098,3950,0,3300
1607469161199695,12497,7096,3956,0,3300
1607469161201548,12490,7094,3961,0,3300
1607469161203396,12483,7093,3970,0,3300
1607469161205242,12491,7090,3979,0,3300
1607469161207090,12492,7088,3986,0,3300
1607469161208940,12492,7085,3990,0,3300
1607469161210789,12491,7083,3995,0,3300
1607469161212632,12501,7080,4003,0,3300
1607469161214479,12500,7076,4011,0,3300
1607469161216334,12488,7073,4019,0,3300
1607469161218176,12486,7071,4023,0,3300
1607469161220029,12483,7068,4027,0,3300
1607469161221876,12481,7065,4029,0,3300
1607469161223721,12477,7062,4033,0,3300
1607469161225571,12473,7059,4035,0,3300
1607469161227414,12470,7054,4032,0,3300
1607469161229264,12466,7048,4034,0,3300
1607469161231116,12461,7043,4039,0,3300
1607469161232964,12456,7039,4042,0,3300
1607469161234810,12450,7034,4046,0,3300
1607469161236657,12432,7029,4049,0,3300
1607469161238502,12422,7024,4053,0,3300
1607469161240352,12423,7019,4056,0,3300
1607469161242198,12414,7014,4058,0,3300
1607469161244047,12405,7010,4064,0,3300
1607469161245896,12395,7006,4069,0,3300
1607469161247742,12391,7003,4074,0,3300
1607469161249590,12383,7001,4077,0,3300
1607469161251437,12370,6998,4077,0,3300
1607469161253286,12362,6996,4078,0,3300
1607469161255137,12355,6995,4081,0,3300
1607469161256982,12349,6994,4082,0,3300
1607469161258832,12345,6994,4078,0,3300
1607469161260683,12340,6993,4079,4294967196,3300
1607469161262527,12331,6994,4084,4294967196,3300
1607469161264379,12323,6996,4086,4294967196,3300
1607469161266227,12318,6997,4085,4294967196,3300
1607469161268075,12312,6998,4082,4294967196,3300
1607469161269922,12307,7001,4082,4294967196,3300
1607469161271769,12296,7003,4084,4294967196,3200
1607469161273614,12292,7004,4082,4294967196,3200
1607469161275465,12295,7007,4079,4294967196,3200
1607469161277311,12292,7012,4077,4294967196,3200
1607469161279160,12288,7016,4073,4294967196,3200
1607469161281011,12286,7021,4069,4294967196,3200
1607469161282857,12281,7028,4067,4294967196,3200
1607469161284706,12280,7033,4065,4294967196,3200
1607469161286553,12283,7038,4064,4294967196,3200
